SampleID,ichorCNA
ZK0AAAK38NB,0.01153
ZK0AAAH97NB,0.005822
ZK0AAAL50NB,0.008136
ZK0AAAH49NB,0.00696
ZK0AAAI19NB,0.0
ZK0AAAI59NB,0.006528
ZK0AAAK45NB,0.01135
ZK0AAAI38NB,0.009604
ZK0AAAK54NB,0.01275
ZK0AAAI48NB,0.006607
ZK0AAAK47NB,0.01148
ZK0AAAL46NB,0.009374
ZK0AAAK75NB,0.005524
ZK0AAAH99NB,0.006329
ZK0AAAH50NB,0.005633
ZK0AAAF88NB,0.01171
ZK0AAAK77NB,0.01276
ZK0AAAL51NB,0.004777
ZK0AAAK79NB,0.009926
ZK0AAAH53NB,0.01021
ZK0AAAI89NB,0.01179
ZK0AAAK22NB,0.00992
ZK0AAAH87NB,0.01167
ZK0AAAL44NB,0.004509
ZK0AAAK34NB,0.0
ZK0AAAI85NB,0.0
ZK0DAAA43NB,0.00993
ZK0AAAI71NB,0.01026
ZK0AAAI70NB,0.00906
ZK0AAAK18NB,0.01171
ZK0AAAI58NB,0.01195
ZK0AAAL64NB,0.005241
ZK0AAAK05NB,0.01159
ZK0AAAI51NB,0.01023
ZK0AAAJ13NB,0.005642
ZK0AAAH91NB,0.01185
ZK0AAAK70NB,0.01181
ZK0AAAI82NB,0.005994
ZK0AAAI27NB,0.007329
ZK0AAAI39NB,0.01092
ZK0AAAI74NB,0.009616
ZK0AAAI60NB,0.009725
ZK0AAAI79NB,0.006398
ZK0AAAI88NB,0.01117
ZK0AAAK15NB,0.006153
ZK0AAAK14NB,0.01233
ZK0AAAI40NB,0.005077
ZK0AAAL75NB,0.009839
ZK0AAAI30NB,0.005177
ZK0AAAI76NB,0.006925
ZK0AAAI80NB,0.009952
ZK0AAAK09NB,0.007056
ZK0AAAH67NB,0.01103
ZK0AAAL57NB,0.005144
ZK0AAAK74NB,0.01196
ZK0AAAI55NB,0.01057
ZK0AAAK39NB,0.01366
ZK0AAAH71NB,0.01009
ZK0AAAI62NB,0.009664
ZK0AAAH52NB,0.01242
ZK0AAAK26NB,0.01048
