SampleID,RUN,Group_RUN
4-MQCAAA03,Research-mrdgw-all-29042024-4,06062024
5-ZMC040A,Research-mrdgw-all-29042024-4,06062024
8-ZMC017A,Research-mrdgw-all-240524,06062024
14-HAGAAA04,Research-mrdgw-all-240524,06062024
4-ZMC065A,Research-mrdgw-all-240524,06062024
10-MQGAAA01,Research-mrdgw-all-240524,06062024
11-HMGAAA07,Research-mrdgw-all-240524,06062024
3-HAGAAA16,Research-mrdgw-all-240524,06062024
6-ZMC079A,Research-mrdgw-all-240524,06062024
7-ZMG013A,Research-mrdgw-all-240524,06062024
1-HAAA34,Research-mrdgw-all-240524,06062024
16-HAAAAA17,Research-mrdgw-all-240524,06062024
15-HACAAA03,Research-mrdgw-all-240524,06062024
12-HAAAAA01,Research-mrdgw-all-240524,06062024
5-ZMC072A,Research-mrdgw-all-240524,06062024
2-HAAA32,Research-mrdgw-all-240524,06062024
9-QCAF79,Research-mrdgw-all-240524,06062024
6-ZTKL21A,Research-mrdgw-all-030624,06062024
12-ZNAB01B,Research-mrdgw-all-030624,06062024
2-HMDAAA08,Research-mrdgw-all-030624,06062024
15-ZNAB04B,Research-mrdgw-all-030624,06062024
5-ZTKL20A,Research-mrdgw-all-030624,06062024
14-ZNAB03B,Research-mrdgw-all-030624,06062024
13-ZNAB02B,Research-mrdgw-all-030624,06062024
11-ZNAB07A,Research-mrdgw-all-030624,06062024
8-ZNAB02A,Research-mrdgw-all-030624,06062024
10-ZNAB05A,Research-mrdgw-all-030624,06062024
1-MDBAAA11,Research-mrdgw-all-030624,06062024
7-ZTKL22A,Research-mrdgw-all-030624,06062024
16-ZNAB05B,Research-mrdgw-all-030624,06062024
4-ZTKL13B,Research-mrdgw-all-030624,06062024
3-ZTKL08B,Research-mrdgw-all-030624,06062024
9-ZNAB03A,Research-mrdgw-all-030624,06062024
1-MLAA29,Research-mrdgw-all-batch1,06062024
5-MDAAAA03,Research-mrdgw-all-batch1,06062024
6-ZTKL01A,Research-mrdgw-all-batch1,06062024
3-UCAA34,Research-mrdgw-all-batch1,06062024
5-KABF22,Research-mrdgw-all-batch1,06062024
6-KABD34,Research-mrdgw-all-batch1,06062024
11-ZTKL10A,Research-mrdgw-all-batch1,06062024
5-MUGAAA42,Research-mrdgw-all-batch1,06062024
9-QCAA56,Research-mrdgw-all-batch1,06062024
8-HACAAA01,Research-mrdgw-all-batch1,06062024
6-ZTKL11A,Research-mrdgw-all-batch1,06062024
1-MDGAAA26,Research-mrdgw-all-batch1,06062024
4-QHAB51,Research-mrdgw-all-batch1,06062024
2-UCAA82,Research-mrdgw-all-batch1,06062024
1-HMAAAA18,Research-mrdgw-all-batch1,06062024
2-HMAAAA13,Research-mrdgw-all-batch1,06062024
8-KABB36,Research-mrdgw-all-batch1,06062024
11-MUGAAA53,Research-mrdgw-all-batch1,06062024
7-UCAA21,Research-mrdgw-all-batch1,06062024
4-MUGAAA10,Research-mrdgw-all-batch1,06062024
10-UCAA78,Research-mrdgw-all-batch1,06062024
3-UHAA52,Research-mrdgw-all-batch1,06062024
8-ZTKL07A,Research-mrdgw-all-batch1,06062024
4-UCAA49,Research-mrdgw-all-batch1,06062024
3-QCAB92,Research-mrdgw-all-batch1,06062024
8-ZTKL13A,Research-mrdgw-all-batch1,06062024
3-UCAA23,Research-mrdgw-all-batch1,06062024
2-UCAA04,Research-mrdgw-all-batch1,06062024
7-ZTKL05A,Research-mrdgw-all-batch1,06062024
2-ZTKL03A,Research-mrdgw-all-batch1,06062024
9-UCAA53,Research-mrdgw-all-batch1,06062024
9-MUCAAA04,Research-mrdgw-all-batch1,06062024
2-UCAA22,Research-mrdgw-all-batch1,06062024
6-QCAA27,Research-mrdgw-all-batch1,06062024
3-ZTKL04A,Research-mrdgw-all-batch1,06062024
