,feature_combinations,SEN,SPEC
173,"EM_shannon,OT_FLEN,NMF_FLEN_1",0.41333333333333333,0.9047619047619048
174,"EM_shannon,OT_FLEN,NMF_NUCLEOSOME_2",0.25333333333333335,0.9523809523809523
175,"EM_shannon,OT_NUCLEOSOME,ichorCNA",0.4666666666666667,0.9285714285714286
176,"EM_shannon,OT_NUCLEOSOME,NMF_EM_2",0.28,0.9285714285714286
177,"EM_shannon,OT_NUCLEOSOME,NMF_FLEN_1",0.44,0.9047619047619048
178,"EM_shannon,OT_NUCLEOSOME,NMF_NUCLEOSOME_2",0.28,0.9523809523809523
179,"EM_shannon,ichorCNA,NMF_EM_2",0.44,0.9047619047619048
180,"EM_shannon,ichorCNA,NMF_FLEN_1",0.5733333333333334,0.8809523809523809
181,"EM_shannon,ichorCNA,NMF_NUCLEOSOME_2",0.44,0.9285714285714286
182,"EM_shannon,NMF_EM_2,NMF_FLEN_1",0.41333333333333333,0.8809523809523809
183,"EM_shannon,NMF_EM_2,NMF_NUCLEOSOME_2",0.24,0.9285714285714286
184,"EM_shannon,NMF_FLEN_1,NMF_NUCLEOSOME_2",0.41333333333333333,0.9047619047619048
185,"OT_EM,OT_FLEN,OT_NUCLEOSOME",0.22666666666666666,1.0
186,"OT_EM,OT_FLEN,ichorCNA",0.44,0.9761904761904762
187,"OT_EM,OT_FLEN,NMF_EM_2",0.18666666666666668,0.9761904761904762
188,"OT_EM,OT_FLEN,NMF_FLEN_1",0.41333333333333333,0.9285714285714286
189,"OT_EM,OT_FLEN,NMF_NUCLEOSOME_2",0.18666666666666668,1.0
190,"OT_EM,OT_NUCLEOSOME,ichorCNA",0.4533333333333333,0.9761904761904762
191,"OT_EM,OT_NUCLEOSOME,NMF_EM_2",0.18666666666666668,0.9761904761904762
192,"OT_EM,OT_NUCLEOSOME,NMF_FLEN_1",0.4266666666666667,0.9285714285714286
193,"OT_EM,OT_NUCLEOSOME,NMF_NUCLEOSOME_2",0.21333333333333335,1.0
194,"OT_EM,ichorCNA,NMF_EM_2",0.4266666666666667,0.9523809523809523
195,"OT_EM,ichorCNA,NMF_FLEN_1",0.56,0.9047619047619048
196,"OT_EM,ichorCNA,NMF_NUCLEOSOME_2",0.4266666666666667,0.9761904761904762
197,"OT_EM,NMF_EM_2,NMF_FLEN_1",0.41333333333333333,0.9047619047619048
198,"OT_EM,NMF_EM_2,NMF_NUCLEOSOME_2",0.17333333333333334,0.9761904761904762
199,"OT_EM,NMF_FLEN_1,NMF_NUCLEOSOME_2",0.41333333333333333,0.9285714285714286
200,"OT_FLEN,OT_NUCLEOSOME,ichorCNA",0.4533333333333333,0.9761904761904762
201,"OT_FLEN,OT_NUCLEOSOME,NMF_EM_2",0.18666666666666668,0.9761904761904762
202,"OT_FLEN,OT_NUCLEOSOME,NMF_FLEN_1",0.41333333333333333,0.9285714285714286
203,"OT_FLEN,OT_NUCLEOSOME,NMF_NUCLEOSOME_2",0.18666666666666668,1.0
204,"OT_FLEN,ichorCNA,NMF_EM_2",0.4266666666666667,0.9523809523809523
205,"OT_FLEN,ichorCNA,NMF_FLEN_1",0.56,0.9047619047619048
206,"OT_FLEN,ichorCNA,NMF_NUCLEOSOME_2",0.4266666666666667,0.9761904761904762
207,"OT_FLEN,NMF_EM_2,NMF_FLEN_1",0.38666666666666666,0.9047619047619048
208,"OT_FLEN,NMF_EM_2,NMF_NUCLEOSOME_2",0.13333333333333333,0.9761904761904762
209,"OT_FLEN,NMF_FLEN_1,NMF_NUCLEOSOME_2",0.38666666666666666,0.9285714285714286
210,"OT_NUCLEOSOME,ichorCNA,NMF_EM_2",0.44,0.9523809523809523
211,"OT_NUCLEOSOME,ichorCNA,NMF_FLEN_1",0.5733333333333334,0.9047619047619048
212,"OT_NUCLEOSOME,ichorCNA,NMF_NUCLEOSOME_2",0.44,0.9761904761904762
213,"OT_NUCLEOSOME,NMF_EM_2,NMF_FLEN_1",0.41333333333333333,0.9047619047619048
214,"OT_NUCLEOSOME,NMF_EM_2,NMF_NUCLEOSOME_2",0.17333333333333334,0.9761904761904762
215,"OT_NUCLEOSOME,NMF_FLEN_1,NMF_NUCLEOSOME_2",0.41333333333333333,0.9285714285714286
216,"ichorCNA,NMF_EM_2,NMF_FLEN_1",0.56,0.8809523809523809
217,"ichorCNA,NMF_EM_2,NMF_NUCLEOSOME_2",0.41333333333333333,0.9523809523809523
218,"ichorCNA,NMF_FLEN_1,NMF_NUCLEOSOME_2",0.56,0.9047619047619048
219,"NMF_EM_2,NMF_FLEN_1,NMF_NUCLEOSOME_2",0.38666666666666666,0.9047619047619048
220,"EM_score,FLEN_score,NUCLEOSOME_score,EM_shannon",0.36,0.9047619047619048
221,"EM_score,FLEN_score,NUCLEOSOME_score,OT_EM",0.32,0.9047619047619048
222,"EM_score,FLEN_score,NUCLEOSOME_score,OT_FLEN",0.30666666666666664,0.9047619047619048
