,feature_combinations,SEN_Train,SPEC_Train,NMF_EM_1,NMF_FLEN_1,NMF_NUCLEOSOME_2,EM_score,FLEN_score,NUCLEOSOME_score,EM_shannon,OT_EM,OT_FLEN,OT_NUCLEOSOME,ichorCNA
690,"NMF_EM_1,NMF_NUCLEOSOME_2,NUCLEOSOME_score,OT_NUCLEOSOME,ichorCNA",0.5,0.9176470588235294,1,0,1,0,0,1,0,0,0,1,1
691,"NMF_EM_1,NMF_NUCLEOSOME_2,EM_shannon,OT_EM,OT_FLEN",0.3244274809160305,0.9176470588235294,1,0,1,0,0,0,1,1,1,0,0
692,"NMF_EM_1,NMF_NUCLEOSOME_2,EM_shannon,OT_EM,OT_NUCLEOSOME",0.3282442748091603,0.9176470588235294,1,0,1,0,0,0,1,1,0,1,0
693,"NMF_EM_1,NMF_NUCLEOSOME_2,EM_shannon,OT_EM,ichorCNA",0.4961832061068702,0.8941176470588236,1,0,1,0,0,0,1,1,0,0,1
694,"NMF_EM_1,NMF_NUCLEOSOME_2,EM_shannon,OT_FLEN,OT_NUCLEOSOME",0.33587786259541985,0.9176470588235294,1,0,1,0,0,0,1,0,1,1,0
695,"NMF_EM_1,NMF_NUCLEOSOME_2,EM_shannon,OT_FLEN,ichorCNA",0.5114503816793893,0.8941176470588236,1,0,1,0,0,0,1,0,1,0,1
696,"NMF_EM_1,NMF_NUCLEOSOME_2,EM_shannon,OT_NUCLEOSOME,ichorCNA",0.5190839694656488,0.8941176470588236,1,0,1,0,0,0,1,0,0,1,1
697,"NMF_EM_1,NMF_NUCLEOSOME_2,OT_EM,OT_FLEN,OT_NUCLEOSOME",0.2748091603053435,0.9176470588235294,1,0,1,0,0,0,0,1,1,1,0
698,"NMF_EM_1,NMF_NUCLEOSOME_2,OT_EM,OT_FLEN,ichorCNA",0.48854961832061067,0.8941176470588236,1,0,1,0,0,0,0,1,1,0,1
699,"NMF_EM_1,NMF_NUCLEOSOME_2,OT_EM,OT_NUCLEOSOME,ichorCNA",0.4961832061068702,0.8941176470588236,1,0,1,0,0,0,0,1,0,1,1
700,"NMF_EM_1,NMF_NUCLEOSOME_2,OT_FLEN,OT_NUCLEOSOME,ichorCNA",0.46564885496183206,0.9411764705882353,1,0,1,0,0,0,0,0,1,1,1
701,"NMF_EM_1,EM_score,FLEN_score,NUCLEOSOME_score,EM_shannon",0.38549618320610685,0.9176470588235294,1,0,0,1,1,1,1,0,0,0,0
702,"NMF_EM_1,EM_score,FLEN_score,NUCLEOSOME_score,OT_EM",0.3435114503816794,0.9176470588235294,1,0,0,1,1,1,0,1,0,0,0
703,"NMF_EM_1,EM_score,FLEN_score,NUCLEOSOME_score,OT_FLEN",0.3244274809160305,0.9176470588235294,1,0,0,1,1,1,0,0,1,0,0
704,"NMF_EM_1,EM_score,FLEN_score,NUCLEOSOME_score,OT_NUCLEOSOME",0.3244274809160305,0.9176470588235294,1,0,0,1,1,1,0,0,0,1,0
705,"NMF_EM_1,EM_score,FLEN_score,NUCLEOSOME_score,ichorCNA",0.5267175572519084,0.8941176470588236,1,0,0,1,1,1,0,0,0,0,1
706,"NMF_EM_1,EM_score,FLEN_score,EM_shannon,OT_EM",0.31679389312977096,0.9176470588235294,1,0,0,1,1,0,1,1,0,0,0
707,"NMF_EM_1,EM_score,FLEN_score,EM_shannon,OT_FLEN",0.3320610687022901,0.9176470588235294,1,0,0,1,1,0,1,0,1,0,0
708,"NMF_EM_1,EM_score,FLEN_score,EM_shannon,OT_NUCLEOSOME",0.3473282442748092,0.9176470588235294,1,0,0,1,1,0,1,0,0,1,0
709,"NMF_EM_1,EM_score,FLEN_score,EM_shannon,ichorCNA",0.5114503816793893,0.8941176470588236,1,0,0,1,1,0,1,0,0,0,1
710,"NMF_EM_1,EM_score,FLEN_score,OT_EM,OT_FLEN",0.2748091603053435,0.9176470588235294,1,0,0,1,1,0,0,1,1,0,0
711,"NMF_EM_1,EM_score,FLEN_score,OT_EM,OT_NUCLEOSOME",0.2900763358778626,0.9176470588235294,1,0,0,1,1,0,0,1,0,1,0
712,"NMF_EM_1,EM_score,FLEN_score,OT_EM,ichorCNA",0.49236641221374045,0.8941176470588236,1,0,0,1,1,0,0,1,0,0,1
713,"NMF_EM_1,EM_score,FLEN_score,OT_FLEN,OT_NUCLEOSOME",0.2633587786259542,0.9294117647058824,1,0,0,1,1,0,0,0,1,1,0
714,"NMF_EM_1,EM_score,FLEN_score,OT_FLEN,ichorCNA",0.48854961832061067,0.9058823529411765,1,0,0,1,1,0,0,0,1,0,1
715,"NMF_EM_1,EM_score,FLEN_score,OT_NUCLEOSOME,ichorCNA",0.5038167938931297,0.9058823529411765,1,0,0,1,1,0,0,0,0,1,1
716,"NMF_EM_1,EM_score,NUCLEOSOME_score,EM_shannon,OT_EM",0.3816793893129771,0.9176470588235294,1,0,0,1,0,1,1,1,0,0,0
717,"NMF_EM_1,EM_score,NUCLEOSOME_score,EM_shannon,OT_FLEN",0.3816793893129771,0.9176470588235294,1,0,0,1,0,1,1,0,1,0,0
718,"NMF_EM_1,EM_score,NUCLEOSOME_score,EM_shannon,OT_NUCLEOSOME",0.3816793893129771,0.9176470588235294,1,0,0,1,0,1,1,0,0,1,0
719,"NMF_EM_1,EM_score,NUCLEOSOME_score,EM_shannon,ichorCNA",0.5458015267175572,0.8941176470588236,1,0,0,1,0,1,1,0,0,0,1
720,"NMF_EM_1,EM_score,NUCLEOSOME_score,OT_EM,OT_FLEN",0.33969465648854963,0.9176470588235294,1,0,0,1,0,1,0,1,1,0,0
721,"NMF_EM_1,EM_score,NUCLEOSOME_score,OT_EM,OT_NUCLEOSOME",0.33969465648854963,0.9176470588235294,1,0,0,1,0,1,0,1,0,1,0
722,"NMF_EM_1,EM_score,NUCLEOSOME_score,OT_EM,ichorCNA",0.5343511450381679,0.8941176470588236,1,0,0,1,0,1,0,1,0,0,1
723,"NMF_EM_1,EM_score,NUCLEOSOME_score,OT_FLEN,OT_NUCLEOSOME",0.31679389312977096,0.9294117647058824,1,0,0,1,0,1,0,0,1,1,0
724,"NMF_EM_1,EM_score,NUCLEOSOME_score,OT_FLEN,ichorCNA",0.5190839694656488,0.8941176470588236,1,0,0,1,0,1,0,0,1,0,1
725,"NMF_EM_1,EM_score,NUCLEOSOME_score,OT_NUCLEOSOME,ichorCNA",0.5190839694656488,0.8941176470588236,1,0,0,1,0,1,0,0,0,1,1
726,"NMF_EM_1,EM_score,EM_shannon,OT_EM,OT_FLEN",0.3282442748091603,0.9176470588235294,1,0,0,1,0,0,1,1,1,0,0
727,"NMF_EM_1,EM_score,EM_shannon,OT_EM,OT_NUCLEOSOME",0.33587786259541985,0.9176470588235294,1,0,0,1,0,0,1,1,0,1,0
728,"NMF_EM_1,EM_score,EM_shannon,OT_EM,ichorCNA",0.5,0.8941176470588236,1,0,0,1,0,0,1,1,0,0,1
729,"NMF_EM_1,EM_score,EM_shannon,OT_FLEN,OT_NUCLEOSOME",0.3473282442748092,0.9176470588235294,1,0,0,1,0,0,1,0,1,1,0
730,"NMF_EM_1,EM_score,EM_shannon,OT_FLEN,ichorCNA",0.5152671755725191,0.8941176470588236,1,0,0,1,0,0,1,0,1,0,1
731,"NMF_EM_1,EM_score,EM_shannon,OT_NUCLEOSOME,ichorCNA",0.5267175572519084,0.8941176470588236,1,0,0,1,0,0,1,0,0,1,1
732,"NMF_EM_1,EM_score,OT_EM,OT_FLEN,OT_NUCLEOSOME",0.2900763358778626,0.9176470588235294,1,0,0,1,0,0,0,1,1,1,0
733,"NMF_EM_1,EM_score,OT_EM,OT_FLEN,ichorCNA",0.4961832061068702,0.8941176470588236,1,0,0,1,0,0,0,1,1,0,1
734,"NMF_EM_1,EM_score,OT_EM,OT_NUCLEOSOME,ichorCNA",0.5076335877862596,0.8941176470588236,1,0,0,1,0,0,0,1,0,1,1
735,"NMF_EM_1,EM_score,OT_FLEN,OT_NUCLEOSOME,ichorCNA",0.4961832061068702,0.9058823529411765,1,0,0,1,0,0,0,0,1,1,1
736,"NMF_EM_1,FLEN_score,NUCLEOSOME_score,EM_shannon,OT_EM",0.3702290076335878,0.9176470588235294,1,0,0,0,1,1,1,1,0,0,0
737,"NMF_EM_1,FLEN_score,NUCLEOSOME_score,EM_shannon,OT_FLEN",0.3702290076335878,0.9176470588235294,1,0,0,0,1,1,1,0,1,0,0
738,"NMF_EM_1,FLEN_score,NUCLEOSOME_score,EM_shannon,OT_NUCLEOSOME",0.3702290076335878,0.9176470588235294,1,0,0,0,1,1,1,0,0,1,0
739,"NMF_EM_1,FLEN_score,NUCLEOSOME_score,EM_shannon,ichorCNA",0.5419847328244275,0.8941176470588236,1,0,0,0,1,1,1,0,0,0,1
740,"NMF_EM_1,FLEN_score,NUCLEOSOME_score,OT_EM,OT_FLEN",0.3282442748091603,0.9176470588235294,1,0,0,0,1,1,0,1,1,0,0
741,"NMF_EM_1,FLEN_score,NUCLEOSOME_score,OT_EM,OT_NUCLEOSOME",0.3282442748091603,0.9176470588235294,1,0,0,0,1,1,0,1,0,1,0
742,"NMF_EM_1,FLEN_score,NUCLEOSOME_score,OT_EM,ichorCNA",0.5305343511450382,0.8941176470588236,1,0,0,0,1,1,0,1,0,0,1
743,"NMF_EM_1,FLEN_score,NUCLEOSOME_score,OT_FLEN,OT_NUCLEOSOME",0.29389312977099236,0.9411764705882353,1,0,0,0,1,1,0,0,1,1,0
744,"NMF_EM_1,FLEN_score,NUCLEOSOME_score,OT_FLEN,ichorCNA",0.5076335877862596,0.9176470588235294,1,0,0,0,1,1,0,0,1,0,1
745,"NMF_EM_1,FLEN_score,NUCLEOSOME_score,OT_NUCLEOSOME,ichorCNA",0.5076335877862596,0.9176470588235294,1,0,0,0,1,1,0,0,0,1,1
746,"NMF_EM_1,FLEN_score,EM_shannon,OT_EM,OT_FLEN",0.31297709923664124,0.9176470588235294,1,0,0,0,1,0,1,1,1,0,0
